REGION,NUMBER,NAME,POPULATION
3,1,Alabama,4785448
4,2,Alaska,713906
4,4,Arizona,6407774
3,5,Arkansas,2921978
4,6,California,37320903
4,8,Colorado,5048281
1,9,Connecticut,3579125
3,10,Delaware,899595
3,11,District of Columbia,605085
3,12,Florida,18845785
,58,Flursday,1234567
3,13,Georgia,9711810
4,15,Hawaii,1363963
4,16,Idaho,1570773
2,17,Illinois,12840762
2,18,Indiana,6490436
2,19,Iowa,3050767
2,20,Kansas,2858213
3,21,Kentucky,4348200
3,22,Louisiana,4544532
1,23,Maine,1327632
3,98,Martyland,
3,24,Maryland,5788642
1,25,Massachusetts,6566431
2,26,Michigan,9877535
2,27,Minnesota,5310843
3,28,Mississippi,2970536
2,29,Missouri,5995976
4,30,Montana,990722
2,31,Nebraska,1829536
4,32,Nevada,2702464
1,33,New Hampshire,1316777
1,34,New Jersey,8799624
4,35,New Mexico,2064588
1,36,New York,19400080
3,37,North Carolina,9574293
2,38,North Dakota,674710
2,39,Ohio,11539327
3,40,Oklahoma,3759632
4,41,Oregon,3837532
1,42,Pennsylvania,12711158
1,44,Rhode Island,1053938
3,45,South Carolina,4635656
2,46,South Dakota,816165
2,,South Nowhere,816165
3,47,Tennessee,6355301
3,48,Texas,25242679
4,49,Utah,2775334
1,50,Vermont,625880
3,51,Virginia,8023680
4,53,Washington,6742902
3,54,West Virginia,1854214
2,55,Wisconsin,5690479
4,56,Wyoming,564483
5,72,Puerto Rico,3721525
