"Label (Beaver, Cat, Rabbit, Squirrel, Opossum)",Brain,Body
0,15.33,8.5
0,13.33,9.45
1,27.73,20.85
1,30.13,17.85
1,30.73,20.85
2,25.68,10.1
0,11.63,8.35
2,26.33,10.4
2,25.28,9.05
0,11.63,7.15
1,26.03,25.75
4,18.83,6.8
1,27.63,24.3
3,10.08,4.65
3,11.18,4.75
3,10.18,5.5
0,13.48,8.15
4,17.23,7.25
0,14.33,7.5
0,13.38,7
0,12.58,7.65
2,25.03,8.8
1,27.03,23.7
0,14.23,8.15
1,25.83,21.8
2,25.43,10.8
0,14.48,9.5
0,14.08,7.75
1,31.98,24.1
1,27.08,20.4
2,24.98,11.45
1,26.28,21.9
1,27.18,26.8
1,31.53,20.1
1,24.83,25.4
4,18.33,7.3
1,29.48,27.05
1,25.13,23.55
1,26.88,20.65
1,28.58,21.5
1,32.48,22
1,27.33,23
3,9.53,4
0,13.08,7.6
0,12.73,6.75
2,25.23,11.9
2,26.48,11.55
1,27.98,24.05
2,24.48,9.2
1,27.48,23.25
3,11.58,5.2
1,28.58,24.3
3,10.23,4.2
4,16.68,5
4,17.08,6.1
2,24.63,13.3
4,17.23,6.1
1,27.88,21.8
2,26.63,10.1
1,26.23,23.9
0,15.63,8.8
1,28.38,23.4
1,25.03,20.45
0,12.43,7.3
1,27.58,23.15
1,27.98,26.95
1,30.73,24.85
1,28.63,24.7
4,17.43,7.1
1,27.18,24.25
3,9.48,5.1
3,9.78,4.1
0,15.23,9.05
1,28.43,23.7
3,9.18,3.05
0,12.23,9.25
4,17.18,6.7
3,11.23,4.6
4,18.73,5.6
2,25.78,10.9
0,13.53,7.65
1,25.08,18.55
0,12.78,8.3
0,11.68,9.05
1,29.48,22.3
1,27.28,24.2
3,11.03,5.45
1,24.93,22.45
2,24.18,11.55
4,16.53,6.8
1,28.48,22.8
1,27.78,27
0,11.63,7.45
0,13.58,6.3
2,24.83,9.45
1,30.58,19.45
1,25.88,27.55
3,10.53,5.5
4,17.68,6.2
3,9.08,4.15
4,17.23,6.1
4,16.98,6.75
1,29.93,26.45
2,27.03,12.05
0,12.38,8
0,14.98,9.25
1,26.53,22.3
2,24.68,11.1
1,30.53,23.35
1,27.78,18.85
1,29.03,23.25
4,17.83,6.45
4,16.63,7.6
4,17.53,6.45
1,26.78,22.35
0,14.83,8.05
1,27.48,25.15
1,28.38,22.3
1,28.58,24.25
3,10.58,4.15
3,10.03,5.4
1,29.58,23.7
4,16.48,6.3
1,28.88,22.55
1,27.83,19.2
4,17.83,4.95
2,25.53,11.2
3,9.58,5.2
1,30.28,21.5
1,29.78,22.4
1,28.83,20.7
1,28.58,23.85
2,25.18,13.2
1,26.93,22.6
2,23.73,10.75
1,27.93,20.45
1,28.33,25.5
2,24.73,11
0,12.33,6.15
1,24.58,21.6
1,29.73,19.05
2,23.83,10.05
1,28.23,24.05
1,29.68,21.5
1,31.53,19.55
3,9.93,4.85
1,24.63,21.05
2,25.68,11.7
2,24.58,10.7
4,17.68,4.85
1,27.23,22.1
2,26.28,9.25
3,10.48,4.45
3,9.18,4.8
0,12.78,8.4
1,31.13,23.2
1,28.98,24.6
0,12.88,9.25
2,26.98,9.95
1,26.08,20.05
2,26.43,12.95
0,12.43,9.05
2,25.13,11.45
3,11.33,4.45
0,13.78,9.45
1,31.93,26
1,27.38,22.7
4,16.38,6.25
0,13.48,8.15
2,25.03,10.55
1,28.03,21.65
4,16.08,7.45
0,12.9,7.95
1,26.48,26.1
4,17.43,5.5
1,26.08,19.05
0,13.88,7.55
4,17.08,6.35
4,15.63,6.6
1,28.83,23.25
1,29.03,17.85
1,29.03,22.6
4,17.68,6.65
1,24.33,24.3
1,27.18,16.25
4,18.93,6.25
1,29.03,21.95
1,30.78,22
1,29.13,20.3
4,16.48,5.45
2,25.08,9.75
2,25.78,9.6
2,25.53,9.65
2,25.68,9.35
3,10.88,5.4
0,12.18,6.8
1,27.83,24.8
1,25.13,23.2
1,25.28,24.75
4,17.43,7.6
4,16.63,6.1
0,13.53,8.5
0,12.78,9.25
4,16.98,5.4
1,26.88,18.05
1,28.68,18.7
